fips,name
45031,Darlington
45051,Horry
28057,Itawamba
53025,Grant
36085,Richmond
42073,Lawrence
37093,Hoke
20081,Haskell
18115,Ohio
48213,Henderson
21183,Ohio
20095,Kingman
46073,Jerauld
47055,Giles
20085,Jackson
37131,Northampton
30103,Treasure
37167,Stanly
30053,Lincoln
30047,Lake
37191,Wayne
08035,Douglas
48501,Yoakum
30045,Judith Basin
55097,Portage
45039,Fairfield
37047,Columbus
54105,Wirt
24017,Charles
13223,Paulding
36029,Erie
20151,Pratt
39013,Belmont
02195,Petersburg
42015,Bradford
13239,Quitman
36041,Hamilton
54071,Pendleton
05003,Ashley
27053,Hennepin
51073,Gloucester
48369,Parmer
37147,Pitt
17047,Edwards
51001,Accomack
13319,Wilkinson
48383,Reagan
51093,Isle of Wight
17105,Livingston
48323,Maverick
31087,Hitchcock
05061,Howard
54073,Pleasants
21171,Monroe
46017,Buffalo
21025,Breathitt
05021,Clay
47189,Wilson
06083,Santa Barbara
42011,Berks
34015,Gloucester
48301,Loving
13127,Glynn
40129,Roger Mills
21053,Clinton
37187,Washington
05007,Benton
36043,Herkimer
42077,Lehigh
37013,Beaufort
13225,Peach
05025,Cleveland
08089,Otero
28031,Covington
13115,Floyd
47011,Bradley
13211,Morgan
47013,Campbell
19183,Washington
48295,Lipscomb
30033,Garfield
16037,Custer
39121,Noble
47021,Cheatham
48173,Glasscock
29141,Morgan
37141,Pender
40057,Harmon
48453,Travis
55115,Shawano
19197,Wright
48415,Scurry
38019,Cavalier
22119,Webster
31067,Gage
17041,Douglas
39175,Wyandot
47053,Gibson
06049,Modoc
18137,Ripley
08011,Bent
17131,Mercer
13263,Talbot
48507,Zavala
27115,Pine
26127,Oceana
20077,Harper
48133,Eastland
42035,Clinton
51065,Fluvanna
51113,Madison
01103,Morgan
18153,Sullivan
29219,Warren
26069,Iosco
04005,Coconino
26057,Gratiot
42053,Forest
42067,Juniata
45023,Chester
45005,Allendale
19061,Dubuque
47119,Maury
26107,Mecosta
39057,Greene
05009,Boone
18139,Rush
40141,Tillman
26149,St. Joseph
27173,Yellow Medicine
40049,Garvin
40127,Pushmataha
08111,San Juan
34023,Middlesex
55007,Bayfield
47187,Williamson
30105,Valley
51117,Mecklenburg
27061,Itasca
01063,Greene
55017,Chippewa
37007,Anson
37065,Edgecombe
16069,Nez Perce
39063,Hancock
42083,McKean
26063,Huron
27051,Grant
47133,Overton
08091,Ouray
54103,Wetzel
28011,Bolivar
29145,Newton
42081,Lycoming
48477,Washington
20111,Lyon
48329,Midland
12109,St. Johns
39117,Morrow
13135,Gwinnett
16075,Payette
08045,Garfield
13069,Coffee
01073,Jefferson
12117,Seminole
38077,Richland
13007,Baker
54089,Summers
08015,Chaffee
55135,Waupaca
13291,Union
24037,St. Mary's
55078,Menominee
38033,Golden Valley
23019,Penobscot
29047,Clay
51750,Radford
33001,Belknap
13075,Cook
12107,Putnam
17153,Pulaski
51678,Lexington
46057,Hamlin
46045,Edmunds
19059,Dickinson
18005,Bartholomew
48121,Denton
18109,Morgan
09015,Windham
29510,St. Louis City
48107,Crosby
46047,Fall River
29083,Henry
17097,Lake
25027,Worcester
05065,Izard
22067,Morehouse
51710,Norfolk
27075,Lake
12005,Bay
42023,Cameron
53055,San Juan
48341,Moore
39071,Highland
22009,Avoyelles
41029,Jackson
22021,Caldwell
48291,Liberty
53049,Pacific
21131,Leslie
28075,Lauderdale
01117,Shelby
13249,Schley
39173,Wood
36001,Albany
05139,Union
40145,Wagoner
37113,Macon
22097,St. Landry
47045,Dyer
13221,Oglethorpe
08067,La Plata
26129,Ogemaw
18037,Dubois
49001,Beaver
09011,New London
36097,Schuyler
31041,Custer
19177,Van Buren
47029,Cocke
35015,Eddy
39165,Warren
29009,Barry
48001,Anderson
28123,Scott
27015,Brown
50003,Bennington
13147,Hart
29139,Montgomery
25019,Nantucket
48151,Fisher
42055,Franklin
38007,Billings
36013,Chautauqua
18145,Shelby
06029,Kern
46105,Perkins
29181,Ripley
30017,Custer
37001,Alamance
37095,Hyde
48205,Hartley
06021,Glenn
45085,Sumter
27149,Stevens
48459,Upshur
40101,Muskogee
28001,Adams
19143,Osceola
47083,Houston
08007,Archuleta
21133,Letcher
27039,Dodge
06037,Los Angeles
42099,Perry
54045,Logan
13191,McIntosh
12111,St. Lucie
31081,Hamilton
21015,Boone
48215,Hidalgo
28055,Issaquena
48319,Mason
13109,Evans
36107,Tioga
42007,Beaver
31079,Hall
36047,Kings
13051,Chatham
34029,Ocean
21007,Ballard
02170,Matanuska-Susitna
21229,Washington
31163,Sherman
26059,Hillsdale
48095,Concho
21105,Hickman
02110,Juneau
19135,Monroe
20159,Rice
05089,Marion
22017,Caddo
48043,Brewster
48465,Val Verde
53017,Douglas
37105,Lee
54019,Fayette
53003,Asotin
17171,Scott
08003,Alamosa
30099,Teton
47073,Hawkins
13083,Dade
48039,Brazoria
23027,Waldo
26029,Charlevoix
30029,Flathead
46079,Lake
28073,Lamar
13137,Habersham
48067,Cass
12087,Monroe
26155,Shiawassee
21153,Magoffin
17173,Shelby
16063,Lincoln
48391,Refugio
26003,Alger
39009,Athens
47181,Wayne
46061,Hanson
19045,Clinton
21169,Metcalfe
48311,McMullen
10005,Sussex
47033,Crockett
17043,DuPage
21191,Pendleton
19121,Madison
02164,Lake and Peninsula
36023,Cortland
27157,Wabasha
44001,Bristol
16073,Owyhee
24045,Wicomico
20037,Crawford
17075,Iroquois
26153,Schoolcraft
37015,Bertie
48137,Edwards
21219,Todd
13177,Lee
27125,Red Lake
28159,Winston
25015,Hampshire
47171,Unicoi
48309,McLennan
54041,Lewis
17037,DeKalb
13123,Gilmer
49009,Daggett
13195,Madison
39007,Ashtabula
01111,Randolph
19169,Story
27003,Anoka
39073,Hocking
38095,Towner
41011,Coos
13043,Candler
31097,Johnson
48007,Aransas
23007,Franklin
40055,Greer
22055,Lafayette
08121,Washington
30081,Ravalli
50017,Orange
41053,Polk
34035,Somerset
41043,Linn
40153,Woodward
54037,Jefferson
51067,Franklin
45063,Lexington
54059,Mingo
55091,Pepin
01069,Houston
48003,Andrews
30089,Sanders
56015,Goshen
45021,Cherokee
21093,Hardin
36105,Sullivan
06069,San Benito
31141,Platte
19107,Keokuk
19077,Guthrie
18081,Johnson
34031,Passaic
55133,Waukesha
30083,Richland
13155,Irwin
51036,Charles City
26113,Missaukee
48331,Milam
28007,Attala
06043,Mariposa
08083,Montezuma
49045,Tooele
32007,Elko
56001,Albany
13029,Bryan
51520,Bristol
31175,Valley
35039,Rio Arriba
01099,Monroe
54027,Hampshire
55083,Oconto
20069,Gray
39145,Scioto
53077,Yakima
20099,Labette
35033,Mora
51109,Louisa
54017,Doddridge
30087,Rosebud
22037,East Feliciana
36037,Genesee
06107,Tulare
40113,Osage
29037,Cass
27001,Aitkin
27127,Redwood
22007,Assumption
51087,Henrico
53045,Mason
12019,Clay
40027,Cleveland
36089,St. Lawrence
19055,Delaware
51770,Roanoke City
05005,Baxter
39133,Portage
19097,Jackson
38041,Hettinger
44003,Kent
01039,Covington
36021,Columbia
55029,Door
19041,Clay
45083,Spartanburg
17093,Kendall
